Date,LMCADS03,LMCADY,DXY,COMXCOPR,SPX,BCOM,MXWD,CL1,XAU,XAG,LMCADY_acu_20d,LMCADY_std_20d
2024-03-04,0.006006006006006093,0.0065660804094871406,0.00028901734104036514,-0.01590374775273129,0.010298012267039525,0.0036856526770829845,0.0076050122153046296,0.0075495841330772695,-0.006372060675551183,0.009103966879303815,-0.0350444857238964,0.010185757295277934
2024-03-01,-0.004565408252853342,-0.0047197758727327566,0.00028893383415207197,0.013666385609893306,0.0011947105311882478,-0.004496450763300852,-7.821360134518951e-05,0.0156210312420626,-0.01492565548030722,-0.03194272915663665,-0.03976426159662916,0.0101976923089776
2024-02-29,-0.0011759863585582009,-0.0017229087452471648,0.002888503755054783,0.006169202509271221,-0.00794420176442634,-0.005316013771438199,-0.007548202901951684,-0.021383018631986883,-0.01854127858967225,-0.019369905074923754,-0.04148717034187632,0.010187284681754146
2024-02-28,-0.005298169188202695,-0.005564482532880999,-0.001728110599078292,0.01829079260101274,-0.005201843701373776,-0.00044881586036649157,-0.0041377679697351955,0.003577817531305927,-0.004769358704691085,-0.009605038014429579,-0.04452841386630346,0.010216992111689692
2024-02-27,0.003018287269929587,0.002453694006403495,-0.0014425851125217104,-0.010249644814288583,0.0016608281259862245,3.1038068190714085e-05,0.0033899199345759357,0.004201680672268893,-0.002000442358261023,0.0001870174282432302,-0.042541304721737006,0.01025415292747562
2024-02-26,-0.0009440641963653906,-0.001641742037551075,0.0,0.0002050651081717536,-0.0017033661666188138,-0.008923167646921915,-0.0020113053766268596,-0.01635602890833021,0.00037429573302860675,0.0026088505030719134,-0.0452300869846074,0.010227940340493347
2024-02-23,0.01198913300259874,0.013574119476170488,0.0010594240585573012,-0.023235947377413302,0.003801141328683366,-0.004078458390747053,0.0026476283309404547,-0.014050012889920138,0.00204801008251132,0.019066987558057802,-0.03147441153952768,0.010820507758521891
2024-02-22,0.0019842427779399596,0.002890855457227115,0.00019241870309794074,-0.031345111072240694,-0.00034782266939170636,0.010588510281923424,-0.001011587272392811,0.027716041312589867,-0.005409256165864185,-0.008688453159041432,-0.037905121538830966,0.010572411602475257
2024-02-21,-0.004950783388665614,-0.005059121124772026,0.00048095421315896836,-0.027050453248582462,-0.0206859405193206,0.0014313051324734705,-0.016438500282742186,-0.008904719501335756,0.0007903615410074227,0.005951491389238006,-0.04083471969032726,0.010596096323265813
2024-02-20,-0.004916881292437392,-0.0038443800626737357,0.0006730122103644209,-0.05400890868596886,-0.0012625958488899913,-0.007450791530084322,0.0004278589669881594,0.0034655371582597017,-0.0007798656459311326,0.005186576946604848,-0.05057216505410633,0.010434798690883967
2024-02-19,-0.007705882352941229,-0.008367768717674195,0.002017678708685633,-0.02373945458112614,0.00604159171622598,0.004372138935931913,0.0031808401160071664,0.012918905090816057,-0.003556591797116204,0.0008041834929384262,-0.07193761943971844,0.009838221144935518
